smiles1,percentage_1,smiles2,percentage_2,smiles3,percentage_3,L_pred,a_pred,b_pred,delta_e_pred,L_exp,a_exp,b_exp
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,C1=CC(=CC=C1C)C,0.4,Cc1sc(C)c2OCCOc12,0.05,71.96471,34.62838,60.473915,3.897441861,81.20396208,25.36726745,68.24620094
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,C1=CC(=CC=C1C)C,0.4,Cc1sc(C)c(OC)c1OC,0.05,77.70481,21.534353,59.795383,6.48660184,75.90751966,34.35987901,59.49106892
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.5,C1=CC(=CC=C1C)C,0.45,Cc1sc(C)c2OCCOc12,0.05,72.62877,31.534176,62.882324,2.530682374,86.77320462,11.87061743,75.24301862
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.65,C1=CC(=CC=C1C)C,0.35,0,0,80.84747,27.592499,58.83647,5.308698189,81.21221234,25.16740247,67.4510655
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.6,C1=CC(=CC=C1C)C,0.35,Cc1sc(C)c(OC)c1OC,0.05,76.96723,33.862465,57.71015,4.193779455,77.35315914,36.51077084,60.46360828
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,C1=CC(=CC=C1C)C,0.45,0,0,70.65183,39.943863,52.90807,8.970843557,88.85485773,8.01460363,78.06498772
