,L,a,b
0,61.8572951919,54.5720243595,30.7839998816
1,66.682779521,48.1181421942,42.7750878354
2,57.5000011908,63.9562580006,-10.6967095642
3,81.7597605012,22.8168521343,67.2857374525
4,58.7340784675,60.1267762907,11.0649508319
