,L,a,b
0,91.5984527632,-4.05575627622,77.6796693394
1,79.9673904712,19.3554249415,61.2871461212
2,88.4199392013,1.88190151679,70.2626819523
3,90.9332263831,-3.31213889774,71.7320155147
4,78.0123915828,24.2854708648,61.410892151
5,77.312146346,28.0755615767,60.5801831529
