,L,a,b
0,75.9075196623,34.3598790068,59.4910689163
1,77.3531591356,36.5107708394,60.4636082807
2,81.2122123423,25.1674024651,67.4510654984
3,78.6280551997,30.1770179225,62.667891179
4,72.9743608255,40.3730715695,54.6360048655
5,60.9132596781,53.206241108,28.7466137086
