,L,a,b
0,46.8508197767,15.3847253068,13.8668087196
1,52.7683326541,-3.58609132594,13.6433214513
2,60.6813899749,-4.22924104026,7.36727744191
3,42.4105898225,-6.42246037048,1.10668536996
4,42.4665512695,16.4135066783,3.2944027561
5,62.8515306731,-4.46398681457,21.5600316648
