smiles1,percentage_1,smiles2,percentage_2,smiles3,percentage_3,L_pred,a_pred,b_pred,delta_e_pred,L_exp,a_exp,b_exp
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,C1=CC(=CC=C1C)C,0.4,Cc1sc(C)c2OCCOc12,0.05,71.96471,34.62838,60.473915,3.897441861,81.20396208,25.36726745,68.24620094
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.5,C1=CC(=CC=C1C)C,0.35,Cc1sc(C)c2OCCOc12,0.15,71.78515,39.510586,59.770473,6.035929037,71.88711646,43.38598012,48.81039854
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.5,C1=CC(=CC=C1C)C,0.45,Cc1sc(C)c2OCCOc12,0.05,72.62877,31.534176,62.882324,2.530682374,86.77320462,11.87061743,75.24301862
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,C1=CC(=CC=C1C)C,0.35,Cc1sc(C)c2OCCOc12,0.1,70.19752,37.16512,54.091324,7.569721852,73.78982924,41.06106654,52.48047848
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.6,C1=CC(=CC=C1C)C,0.35,Cc1sc(C)c2OCCOc12,0.05,71.11699,41.670918,60.540104,6.929524727,74.35167534,39.83559724,54.04630991
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,C1=CC(=CC=C1C)C,0.45,0,0,70.65183,39.943863,52.90807,8.970843557,88.85485773,8.01460363,78.06498772
