,L,a,b
0,81.2039620818,25.3672674484,68.2462009429
1,71.8871164631,43.3859801205,48.8103985359
2,86.773204616,11.8706174268,75.2430186214
3,73.7898292435,41.0610665374,52.4804784782
4,74.3516753359,39.835597241,54.0463099079
5,88.8548577251,8.01460363022,78.0649877239
