,L,a,b
0,67.5942435765,4.90404474998,36.8668664548
1,74.5642542771,-3.80244519394,38.2848783131
2,80.441475002,-4.4797122115,49.1754786385
3,65.4913211438,-2.43268478392,18.4624187479
4,79.938141009,4.50010425378,55.5749487184
5,85.7819040768,-8.40760768302,53.0663397068
6,50.4529368137,3.67437484466,-16.4628869355
