smiles1,percentage_1,smiles2,percentage_2,smiles3,percentage_3,L_exp,a_exp,b_exp
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,C1=CC(=CC=C1C)C,0.35,Cc1sc(C)c(OC)c1OC,0.1,72.97436083,40.37307157,54.63600487
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.65,C1=CC(=CC=C1C)C,0.35,0,0,81.21221234,25.16740247,67.4510655
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.5,C1=CC(=CC=C1C)C,0.35,Cc1sc(C)c(OC)c1OC,0.15,60.91325968,53.20624111,28.74661371
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.6,C1=CC(=CC=C1C)C,0.3,Cc1sc(C)c(OC)c1OC,0.1,67.76956382,46.09954233,44.27861032
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,C1=CC(=CC=C1C)C,0.4,Cc1ccc(C)c2nsnc12,0.05,77.30686142,8.138053911,58.54345346
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.65,C1=CC(=CC=C1C)C,0.25,Cc1sc(C)c2OCCOc12,0.1,63.68024455,57.07283959,21.87978838
